Company Name,Industry,Symbol,yahoo finance symbol
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,MCX.NS
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,MUTHOOTFIN.NS
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,NATCOPHARM.NS
NBCC (India) Ltd.,Construction,NBCC,NBCC.NS
NCC Ltd.,Construction,NCC,NCC.NS
NESCO Ltd.,Services,NESCO,NESCO.NS
NHPC Ltd.,Power,NHPC,NHPC.NS
NLC India Ltd.,Power,NLCINDIA,NLCINDIA.NS
NMDC Ltd.,Metals & Mining,NMDC,NMDC.NS
NOCIL Ltd.,Chemicals,NOCIL,NOCIL.NS
NTPC Ltd.,Power,NTPC,NTPC.NS
Narayana Hrudayalaya Ltd.,Healthcare,NH,NH.NS
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,NATIONALUM.NS
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,NAVINFLUOR.NS
Nazara Technologies Ltd.,Media Entertainment & Publication,NAZARA,NAZARA.NS
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,NESTLEIND.NS
Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18,NETWORK18.NS
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,NAM-INDIA.NS
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO,NUVOCO.NS
Oberoi Realty Ltd.,Realty,OBEROIRLTY,OBEROIRLTY.NS
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,ONGC.NS
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,OIL.NS
One 97 Communications Ltd.,Financial Services,PAYTM,PAYTM.NS
Oracle Financial Services Software Ltd.,Information Technology,OFSS,OFSS.NS
Orient Electric Ltd.,Consumer Durables,ORIENTELEC,ORIENTELEC.NS
PB Fintech Ltd.,Financial Services,POLICYBZR,POLICYBZR.NS
PCBL Ltd.,Chemicals,PCBL,PCBL.NS
PI Industries Ltd.,Chemicals,PIIND,PIIND.NS
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,PNBHOUSING.NS
PNC Infratech Ltd.,Construction,PNCINFRA,PNCINFRA.NS
PVR Ltd.,Media Entertainment & Publication,PVR,PVR.NS
Page Industries Ltd.,Textiles,PAGEIND,PAGEIND.NS
Persistent Systems Ltd.,Information Technology,PERSISTENT,PERSISTENT.NS
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,PETRONET.NS
Pfizer Ltd.,Healthcare,PFIZER,PFIZER.NS
Phoenix Mills Ltd.,Realty,PHOENIXLTD,PHOENIXLTD.NS
Pidilite Industries Ltd.,Chemicals,PIDILITIND,PIDILITIND.NS
Piramal Enterprises Ltd.,Financial Services,PEL,PEL.NS
Poly Medicure Ltd.,Healthcare,POLYMED,POLYMED.NS
Polycab India Ltd.,Capital Goods,POLYCAB,POLYCAB.NS
Polyplex Corporation Ltd.,Capital Goods,POLYPLEX,POLYPLEX.NS
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,POONAWALLA.NS
Power Finance Corporation Ltd.,Financial Services,PFC,PFC.NS
Power Grid Corporation of India Ltd.,Power,POWERGRID,POWERGRID.NS
Praj Industries Ltd.,Capital Goods,PRAJIND,PRAJIND.NS
Prestige Estates Projects Ltd.,Realty,PRESTIGE,PRESTIGE.NS
Prince Pipes and Fittings Ltd.,Capital Goods,PRINCEPIPE,PRINCEPIPE.NS
Prism Johnson Ltd.,Construction Materials,PRSMJOHNSN,PRSMJOHNSN.NS
Privi Speciality Chemicals Ltd.,Chemicals,PRIVISCL,PRIVISCL.NS
Procter & Gamble Health Ltd.,Healthcare,PGHL,PGHL.NS
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH,PGHH.NS
Punjab National Bank,Financial Services,PNB,PNB.NS
Quess Corp Ltd.,Services,QUESS,QUESS.NS
RBL Bank Ltd.,Financial Services,RBLBANK,RBLBANK.NS
REC Ltd.,Financial Services,RECLTD,RECLTD.NS
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM,RHIM.NS
RITES Ltd.,Construction,RITES,RITES.NS
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,RADICO.NS
Rail Vikas Nigam Ltd.,Construction,RVNL,RVNL.NS
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,RAILTEL.NS
Rain Industries Ltd,Chemicals,RAIN,RAIN.NS
Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO,RAJESHEXPO.NS
Rallis India Ltd.,Chemicals,RALLIS,RALLIS.NS
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF,RCF.NS
Ratnamani Metals & Tubes Ltd.,Capital Goods,RATNAMANI,RATNAMANI.NS
RattanIndia Enterprises Ltd.,Services,RTNINDIA,RTNINDIA.NS
Redington (India) Ltd.,Services,REDINGTON,REDINGTON.NS
Relaxo Footwears Ltd.,Consumer Durables,RELAXO,RELAXO.NS
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,RELIANCE.NS
Restaurant Brands Asia Ltd.,Consumer Services,RBA,RBA.NS
Rossari Biotech Ltd.,Chemicals,ROSSARI,ROSSARI.NS
Route Mobile Ltd.,Telecommunication,ROUTE,ROUTE.NS
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,SBICARD.NS
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,SBILIFE.NS
SIS Ltd.,Services,SIS,SIS.NS
SJVN Ltd.,Power,SJVN,SJVN.NS
SKF India Ltd.,Capital Goods,SKFINDIA,SKFINDIA.NS
SRF Ltd.,Chemicals,SRF,SRF.NS
Sanofi India Ltd.,Healthcare,SANOFI,SANOFI.NS
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,SAPPHIRE.NS
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,SAREGAMA.NS
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,SCHAEFFLER.NS
Sequent Scientific Ltd.,Healthcare,SEQUENT,SEQUENT.NS
Sheela Foam Ltd.,Consumer Durables,SFL,SFL.NS
Shilpa Medicare Ltd.,Healthcare,SHILPAMED,SHILPAMED.NS
Shipping Corporation of India Ltd.,Services,SCI,SCI.NS
Shree Cement Ltd.,Construction Materials,SHREECEM,SHREECEM.NS
Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA,RENUKA.NS
Shriram City Union Finance Ltd.,Financial Services,SHRIRAMCIT,SHRIRAMCIT.NS
Shriram Transport Finance Co. Ltd.,Financial Services,SRTRANSFIN,SRTRANSFIN.NS
Shyam Metalics and Energy Ltd.,Metals & Mining,SHYAMMETL,SHYAMMETL.NS
Siemens Ltd.,Capital Goods,SIEMENS,SIEMENS.NS
Sobha Ltd.,Realty,SOBHA,SOBHA.NS
Solar Industries India Ltd.,Chemicals,SOLARINDS,SOLARINDS.NS
Solara Active Pharma Sciences Ltd.,Healthcare,SOLARA,SOLARA.NS
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,SONACOMS.NS
Sonata Software Ltd.,Information Technology,SONATSOFTW,SONATSOFTW.NS
Spicejet Ltd.,Services,SPICEJET,SPICEJET.NS
Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH,STARHEALTH.NS
State Bank of India,Financial Services,SBIN,SBIN.NS
Steel Authority of India Ltd.,Metals & Mining,SAIL,SAIL.NS
Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR,SWSOLAR.NS
Sterlite Technologies Ltd.,Telecommunication,STLTECH,STLTECH.NS
Strides Pharma Science Ltd.,Healthcare,STAR,STAR.NS
Sudarshan Chemical Industries Ltd.,Chemicals,SUDARSCHEM,SUDARSCHEM.NS
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,SUMICHEM.NS
Sun Pharma Advanced Research Company Ltd.,Healthcare,SPARC,SPARC.NS
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,SUNPHARMA.NS
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,SUNTV.NS
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,SUNDARMFIN.NS
Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST,SUNDRMFAST.NS
Sunteck Realty Ltd.,Realty,SUNTECK,SUNTECK.NS
Suprajit Engineering Ltd.,Automobile and Auto Components,SUPRAJIT,SUPRAJIT.NS
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,SUPREMEIND.NS
Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR,SUVENPHAR.NS
Suzlon Energy Ltd.,Capital Goods,SUZLON,SUZLON.NS
Symphony Ltd.,Consumer Durables,SYMPHONY,SYMPHONY.NS
Syngene International Ltd.,Healthcare,SYNGENE,SYNGENE.NS
TCI Express Ltd.,Services,TCIEXP,TCIEXP.NS
TCNS Clothing Co. Ltd.,Textiles,TCNSBRANDS,TCNSBRANDS.NS
TTK Prestige Ltd.,Consumer Durables,TTKPRESTIG,TTKPRESTIG.NS
TV18 Broadcast Ltd.,Media Entertainment & Publication,TV18BRDCST,TV18BRDCST.NS
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,TVSMOTOR.NS
Tanla Platforms Ltd.,Information Technology,TANLA,TANLA.NS
Tata Chemicals Ltd.,Chemicals,TATACHEM,TATACHEM.NS
Tata Coffee Ltd.,Fast Moving Consumer Goods,TATACOFFEE,TATACOFFEE.NS
Tata Communications Ltd.,Telecommunication,TATACOMM,TATACOMM.NS
Tata Consultancy Services Ltd.,Information Technology,TCS,TCS.NS
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,TATACONSUM.NS
Tata Elxsi Ltd.,Information Technology,TATAELXSI,TATAELXSI.NS
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST,TATAINVEST.NS
Tata Motors Ltd DVR,Automobile and Auto Components,TATAMTRDVR,TATAMTRDVR.NS
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,TATAMOTORS.NS
Tata Power Co. Ltd.,Power,TATAPOWER,TATAPOWER.NS
Tata Steel Long Products Ltd.,Capital Goods,TATASTLLP,TATASTLLP.NS
Tata Steel Ltd.,Metals & Mining,TATASTEEL,TATASTEEL.NS
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,TTML.NS
Teamlease Services Ltd.,Services,TEAMLEASE,TEAMLEASE.NS
Tech Mahindra Ltd.,Information Technology,TECHM,TECHM.NS
The New India Assurance Company Ltd.,Financial Services,NIACL,NIACL.NS
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,RAMCOCEM.NS
Thermax Ltd.,Capital Goods,THERMAX,THERMAX.NS
Thyrocare Technologies Ltd.,Healthcare,THYROCARE,THYROCARE.NS
Timken India Ltd.,Capital Goods,TIMKEN,TIMKEN.NS
Titan Company Ltd.,Consumer Durables,TITAN,TITAN.NS
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,TORNTPHARM.NS
Torrent Power Ltd.,Power,TORNTPOWER,TORNTPOWER.NS
Trent Ltd.,Consumer Services,TRENT,TRENT.NS
Trident Ltd.,Textiles,TRIDENT,TRIDENT.NS
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,TRITURBINE.NS
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,TIINDIA.NS
UCO Bank,Financial Services,UCOBANK,UCOBANK.NS
UFLEX Ltd.,Capital Goods,UFLEX,UFLEX.NS
UPL Ltd.,Chemicals,UPL,UPL.NS
UTI Asset Management Company Ltd.,Financial Services,UTIAMC,UTIAMC.NS
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,ULTRACEMCO.NS
Union Bank of India,Financial Services,UNIONBANK,UNIONBANK.NS
United Breweries Ltd.,Fast Moving Consumer Goods,UBL,UBL.NS
United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N,MCDOWELL-N.NS
V-Guard Industries Ltd.,Consumer Durables,VGUARD,VGUARD.NS
V-Mart Retail Ltd.,Consumer Services,VMART,VMART.NS
V.I.P. Industries Ltd.,Consumer Durables,VIPIND,VIPIND.NS
Vaibhav Global Ltd.,Consumer Services,VAIBHAVGBL,VAIBHAVGBL.NS
Vakrangee Ltd.,Information Technology,VAKRANGEE,VAKRANGEE.NS
Vardhman Textiles Ltd.,Textiles,VTL,VTL.NS
Varroc Engineering Ltd.,Automobile and Auto Components,VARROC,VARROC.NS
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,VBL.NS
Vedanta Ltd.,Metals & Mining,VEDL,VEDL.NS
Venky's (India) Ltd.,Fast Moving Consumer Goods,VENKEYS,VENKEYS.NS
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA,VIJAYA.NS
Vinati Organics Ltd.,Chemicals,VINATIORGA,VINATIORGA.NS
Vodafone Idea Ltd.,Telecommunication,IDEA,IDEA.NS
Voltas Ltd.,Consumer Durables,VOLTAS,VOLTAS.NS
Welspun Corp Ltd.,Capital Goods,WELCORP,WELCORP.NS
Welspun India Ltd.,Textiles,WELSPUNIND,WELSPUNIND.NS
Westlife Development Ltd.,Consumer Services,WESTLIFE,WESTLIFE.NS
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,WHIRLPOOL.NS
Wipro Ltd.,Information Technology,WIPRO,WIPRO.NS
Wockhardt Ltd.,Healthcare,WOCKPHARMA,WOCKPHARMA.NS
Yes Bank Ltd.,Financial Services,YESBANK,YESBANK.NS
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA,ZFCVINDIA.NS
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,ZEEL.NS
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,ZENSARTECH.NS
Zomato Ltd.,Consumer Services,ZOMATO,ZOMATO.NS
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,ZYDUSLIFE.NS
Zydus Wellness Ltd.,Fast Moving Consumer Goods,ZYDUSWELL,ZYDUSWELL.NS
eClerx Services Ltd.,Services,ECLERX,ECLERX.NS
